Retweets,Favourites,Clicks,Image
10,20,97,F
8,9,69,T
10,15,109,F
6,8,114,F
19,10,49,T
33,19,135,T
29,20,112,T
12,11,88,F
34,41,273,T
5,14,82,T
33,52,208,T
12,11,132,F
50,70,546,T
34,69,221,T
187,96,524,T
31,36,318,F
24,25,240,T
25,42,219,F
18,26,161,F
7,16,132,F
29,24,56,T
9,15,86,F
3,7,47,F
25,23,149,T
0,4,28,F
16,18,247,F
12,20,110,F
47,67,316,T
29,19,78,T
5,3,153,F
16,18,141,T
48,43,529,T
14,22,222,F
19,34,295,T
28,30,174,T
36,34,80,T
31,57,314,T
4,11,93,F
19,32,260,T
6,6,80,F
11,20,133,F
22,27,91,T
8,9,53,T
16,17,119,T
37,26,278,T
12,20,158,T
35,48,243,T
67,50,438,T
12,25,172,F
23,32,307,T
10,15,134,F
111,93,390,T
13,18,193,F
30,29,198,T
16,15,142,T
36,41,120,T
19,20,175,F
11,29,223,F
22,17,139,T
8,18,225,F
17,21,260,F
22,23,402,F
18,33,234,F
63,57,167,T
10,16,154,F
4,19,154,F
16,12,99,F
4,3,127,F
13,18,170,F
5,13,150,F
5,15,139,F
15,19,165,F
17,6,106,F
12,15,204,F
23,14,120,F
18,29,360,F
15,19,104,F
16,23,107,F
16,19,141,F
24,29,330,F
17,16,167,F
16,15,109,F
22,15,138,F
27,25,205,T
16,20,82,T
9,16,118,F
20,21,178,T
36,19,514,F
35,15,708,F
14,18,11,F
0,22,125,F
15,17,154,F
12,8,101,F
22,21,207,F
10,18,149,F
12,25,108,F
13,19,205,F
19,20,158,F
9,14,160,F
9,19,106,T
